TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,ACTIVITY_ETC,ACTIVITY_DTL,RSVT_YN,EXPND_SE,ADMISSION_SE
e_e000665,2305200002,4,1,,,,,
e_e000665,2305200003,4,2,,,,,
e_e000712,2305270004,1,0,,산채비빔밥,N,4,
e_e000712,2305270005,1,0,,커피;빵,N,1,
e_e000712,2305270005,2,1,,빵,N,5,
e_e000712,2305270004,4,1,,,,,
e_e000712,2305270005,5,2,,,,,
e_e000712,2305270002,7,0,,,,,
e_e000712,2305270003,7,0,,,,,
e_e000712,2305270006,7,0,,,,,
e_e000742,2306030003,1,0,,빵;음료,N,1,
e_e000742,2306030006,1,0,,양꼬치;양삼겹;가지볶음밥;맥주,N,1,
e_e000742,2306040002,1,0,,빵,N,1,
e_e000742,2306040004,1,0,,정식,N,1,
e_e000742,2306040008,1,0,,뼈칼국수,N,1,
e_e000742,2306050002,1,0,,쌈밥,N,1,
e_e000742,2306030003,1,2,,국밥;비빔메밀,N,2,
e_e000742,2306030005,2,0,,과일;채소 등,Y,5,
e_e000742,2306040005,2,0,,반팔티,N,1,
e_e000742,2306030004,3,0,,정원 관람,N,1,2
e_e000742,2306050003,3,0,,수상자전거,N,1,2
e_e000742,2306050001,3,1,,수목원 관람,N,1,2
e_e000742,2306040001,4,0,,,,,
e_e000742,2306040003,4,0,,,,,
e_e000742,2306040006,4,0,,,,,
e_e000742,2306040007,4,0,,,,,
e_e000742,2306040009,4,0,,,,,
e_e000742,2306050001,4,0,,,,,
e_e000742,2306050003,4,1,,,,,
e_e000742,2306030002,5,0,,,,,
e_e000742,2306040010,5,0,,,,,
e_e000749,2305210004,1,0,,고추장삼겹살;감자전,N,1,
e_e000749,2305210003,1,2,,팔숲크림라떼;아이스아메리카노,N,1,
e_e000749,2305210003,4,1,,,,,
e_e000749,2305210004,4,1,,,,,
e_e000749,2305210003,5,0,,,,,
e_e000753,2306040005,1,0,,소고기;편육;회,Y,4,
e_e000753,2306050003,1,0,,뚝배기불고기;비빔밥;파전,Y,1,
e_e000753,2306040003,3,0,,실내 워터파크,Y,5,1
e_e000753,2306040004,3,0,,유아 놀이터,Y,5,1
e_e000753,2306050001,3,0,,남이섬 선박 탑승,Y,1,1
e_e000753,2306050004,3,0,,기차 이동,Y,5,1
e_e000753,2306050005,3,0,,선박이동 (주차장),Y,5,2
e_e000753,2306040002,3,6,,수영,Y,5,1
e_e000753,2306040002,3,7,,테마파크 (기차탑승),Y,5,1
e_e000753,2306050002,4,1,,,,,
e_e000753,2306040005,5,2,,,,,
e_e000769,2305200002,1,0,,바베큐치킨과 돈가스세트 치킨가스와 카레,N,1,
e_e000769,2305200003,1,0,,노을소다 너츠크림라떼,N,1,
e_e000769,2305200002,3,1,,캐리비안베이,Y,5,1
e_e000776,2305270001,1,1,,칼제비;만두,Y,1,
e_e000776,2305270003,1,2,,바닐라라떼;카페모카,Y,1,
e_e000776,2305270005,2,0,,아이쇼핑(남성의류),N,5,
e_e000776,2305270003,4,0,,,,,
e_e000776,2305270001,5,0,,,,,
e_e000776,2305270003,5,1,,,,,
e_e000779,2305250004,1,0,,아이스커피;앙버터,N,1,
e_e000779,2305250007,1,0,,멸치국수,N,1,
e_e000779,2305250006,3,0,,화가의 벗 전시관람,N,5,2
e_e000779,2305250003,4,0,,,,,
e_e000779,2305250005,4,0,,,,,
e_e000779,2305250002,4,1,,,,,
e_e000779,2305250003,5,1,,,,,
e_e000779,2305250004,5,1,,,,,
e_e000843,2305290004,1,0,,제육우렁쌈밥;고등어우렁쌈밥,N,1,
e_e000843,2305290003,3,3,,산림욕;등반,N,1,2
e_e000843,2305290003,4,0,,,,,
e_e000843,2305290003,5,4,,,,,
e_e000853,2305270003,1,0,,공룡핫도그;공룡빵;커피,N,1,
e_e000853,2305270003,3,2,,동물먹이주기체험;물고기잡기체험;앵무새먹이주기체험,Y,1,1
e_e000853,2305270003,4,3,,,,,
e_e000853,2305270003,5,4,,,,,
e_e000880,2305290002,1,0,,피자와 음료,N,1,
e_e000880,2305300002,1,0,,짬뽕;짜장면,N,1,
e_e000880,2305300002,1,1,,커피와 케익,N,1,
e_e000880,2305290002,1,3,,회와 조개구이,N,1,
e_e000880,2305290002,1,4,,파스타,N,4,
e_e000880,2305290002,3,1,,수영장 및 찜질방,N,5,1
e_e000880,2305290002,5,2,,,,,
e_e000920,2306020003,1,0,,회;소주,N,1,
e_e000920,2306030001,1,0,,삼겹살;돼지갈비;맥주;매운탕,Y,4,
e_e000920,2306040002,1,0,,커피;케이크,N,1,
e_e000920,2306040004,1,0,,밴댕이정식,N,1,
e_e000920,2306030002,2,0,,고기;가스버너 등 캠핑식재료,N,5,
e_e000920,2306030004,2,0,,캠핑냄비;오징어데크팩,N,1,
e_e000920,2306030003,2,1,,주유,Y,5,
e_e000920,2306040003,2,2,,떡,Y,1,
e_e000920,2306040002,4,1,,,,,
e_e000920,2306040003,4,1,,,,,
e_e000920,2306030001,5,1,,,,,
e_e000920,2306040002,5,2,,,,,
e_e000920,2306030003,7,0,,,,,
e_e000921,2305240004,1,0,,치즈버거세트,N,1,
e_e000921,2305250002,1,0,,산낙지 똥집볶음 술,N,1,
e_e000921,2305250003,1,0,,치킨난반 야끼소바 하이볼,N,1,
e_e000921,2305250009,1,0,,식사1인,N,1,
e_e000921,2305260003,1,0,,김치삼겹살 볶음밥,N,1,
e_e000921,2305250005,2,0,,도서(지금 이대로 좋다),N,1,
e_e000921,2305250006,2,0,,위스키 아이쇼핑,N,5,
e_e000921,2305250010,2,0,,의류 아이쇼핑,N,5,
e_e000921,2305260002,3,0,,피카소와 20세기 거장들,Y,1,2
e_e000921,2305250004,3,1,,타이마사지,Y,1,1
e_e000921,2305250008,4,0,,,,,
e_e000921,2305260001,4,0,,,,,
e_e000921,2305250007,4,1,,,,,
e_e000921,2305250010,4,1,,,,,
e_e000921,2305240003,5,0,,,,,
e_e000921,2305240005,5,0,,,,,
e_e000921,2305250001,5,0,,,,,
e_e000921,2305250011,5,0,,,,,
e_e000921,2305240002,7,0,,,,,
e_e000921,2305250007,7,0,,,,,
e_e000921,2305260006,7,0,,,,,
e_e000921,2305260004,99,3,,,,,
e_e000944,2305270003,1,0,,뷔페,N,4,
e_e000944,2305270005,1,0,,아메리카노 두잔,N,1,
e_e000944,2305270006,1,0,,카페라테;유자차,N,1,
e_e000944,2305280004,1,1,,오일파스타;버섯리조또;빵;티라미수와 커피,N,1,
e_e000944,2305280005,2,0,,꽃바구니,Y,1,
